None,indicator_id,region_id,date,value
0,ZALL,61637,2021-07-31,1088755.0
1,ZALL,61637,2021-06-30,1088716.0
2,ZALL,61637,2021-05-31,1086301.0
3,ZALL,61637,2021-04-30,1100727.0
4,ZALL,61637,2021-03-31,1096338.0
5,ZALL,61637,2021-02-28,1120821.0
6,ZALL,61637,2021-01-31,1011561.0
7,ZALL,61637,2020-12-31,930893.0
8,ZALL,61637,2020-11-30,1049421.0
9,ZALL,61637,2020-10-31,1138269.0
10,ZALL,61637,2020-09-30,1174442.0
11,ZALL,61637,2020-08-31,1136998.0
12,ZALL,61637,2020-07-31,1098853.0
13,ZALL,61637,2020-06-30,1147409.0
14,ZALL,61637,2020-05-31,1227790.0
15,ZALL,61637,2020-04-30,1209735.0
16,ZALL,61637,2020-03-31,1203165.0
17,ZALL,61637,2020-02-29,1205413.0
18,ZALL,61637,2020-01-31,1193746.0
19,ZALL,61637,2019-12-31,1175142.0
20,ZALL,61637,2019-11-30,1156287.0
21,ZALL,61637,2019-10-31,1153259.0
22,ZALL,61637,2019-09-30,1161916.0
23,ZALL,61637,2019-08-31,1176211.0
24,ZALL,61637,2019-07-31,1178542.0
25,ZALL,61637,2019-06-30,1172317.0
26,ZALL,61637,2019-05-31,1176305.0
27,ZALL,61637,2019-04-30,1178489.0
28,ZALL,61637,2019-03-31,1188283.0
29,ZALL,61637,2019-02-28,1188255.0
30,ZALL,61637,2019-01-31,1213510.0
31,ZALL,61637,2018-12-31,1248611.0
32,ZALL,61637,2018-11-30,1283577.0
33,ZALL,61637,2018-10-31,1295875.0
34,ZALL,61637,2018-09-30,1285177.0
35,ZALL,61637,2018-08-31,1262989.0
36,ZALL,61637,2018-07-31,1245118.0
37,ZALL,61637,2018-06-30,1240353.0
38,ZALL,61637,2018-05-31,1244727.0
39,ZALL,61637,2018-04-30,1257745.0
40,ZALL,61637,2018-03-31,1269148.0
41,ZALL,61637,2018-02-28,1274508.0
42,ZALL,61637,2018-01-31,1269307.0
43,ZALL,61637,2017-12-31,1265140.0
44,ZALL,61637,2017-11-30,1261228.0
45,ZALL,61637,2017-10-31,1254030.0
46,ZALL,61637,2017-09-30,1256309.0
47,ZALL,61637,2017-08-31,1266949.0
48,ZALL,61637,2017-07-31,1286263.0
49,ZALL,61637,2017-06-30,1293851.0
50,ZALL,61637,2017-05-31,1291661.0
51,ZALL,61637,2017-04-30,1284200.0
52,ZALL,61637,2017-03-31,1277749.0
53,ZALL,61637,2017-02-28,1278457.0
54,ZALL,61637,2017-01-31,1279164.0
55,ZALL,61637,2016-12-31,1279184.0
56,ZALL,61637,2016-11-30,1279860.0
57,ZALL,61637,2016-10-31,1285769.0
58,ZALL,61637,2016-09-30,1290128.0
59,ZALL,61637,2016-08-31,1289443.0
60,ZALL,61637,2016-07-31,1287424.0
61,ZALL,61637,2016-06-30,1286394.0
62,ZALL,61637,2016-05-31,1286120.0
63,ZALL,61637,2016-04-30,1281618.0
64,ZALL,61637,2016-03-31,1276206.0
65,ZALL,61637,2016-02-29,1270513.0
66,ZALL,61637,2016-01-31,1265541.0
67,ZALL,61637,2015-12-31,1257016.0
68,ZALL,61637,2015-11-30,1248584.0
69,ZALL,61637,2015-10-31,1241562.0
70,ZALL,61637,2015-09-30,1235920.0
71,ZALL,61637,2015-08-31,1228652.0
72,ZALL,61637,2015-07-31,1217920.0
73,ZALL,61637,2015-06-30,1209842.0
74,ZALL,61637,2015-05-31,1202411.0
75,ZALL,61637,2015-04-30,1201144.0
76,ZALL,61637,2015-03-31,1196015.0
77,ZALL,61637,2015-02-28,1192711.0
78,ZALL,61637,2015-01-31,1188132.0
79,ZALL,61637,2014-12-31,1188737.0
80,ZALL,61637,2014-11-30,1186788.0
81,ZALL,61637,2014-10-31,1180027.0
82,ZALL,61637,2014-09-30,1169676.0
83,ZALL,61637,2014-08-31,1161838.0
84,ZALL,61637,2014-07-31,1154655.0
85,ZALL,61637,2014-06-30,1143952.0
